Queue,Average_Queue
Warehouse1_Queue,190.76758969029754
Forklift_Blanking_Queue,155.62212253732375
Forklift_Press_Queue,140.83411898175754
Forklift_Assembly_Queue,138.11063156676795
Warehouse_4_Queue,77.41061325943662
Press1_Queue,72.29611834636901
Warehouse_3_Queue,70.85439495295566
Press2_Queue,62.922855510488425
Blanking_Queue,62.53675895541249
Press3_Queue,54.23594635735775
Press4_Queue,52.24416437030811
Quality_Queue,47.856173311063046
Warehouse_2_Queue,18.547226011812686
Cell1_Queue,0.0
Cell2_Queue,0.0
Cell3_Queue,0.0
Cell4_Queue,0.0
Paint2_Queue,0.0
Paint1_Queue,0.0
