Variable,Correlation_With_Production,Abs_Correlation
Blanking_Queue,0.9484865903213605,0.9484865903213605
Warehouse_4_Queue,0.5652386132225464,0.5652386132225464
Quality_Queue,0.5189419422661397,0.5189419422661397
Press4_Queue,0.25852199420702376,0.25852199420702376
Press3_Queue,0.22837412408853142,0.22837412408853142
Press2_Queue,0.21418561632344124,0.21418561632344124
Warehouse_3_Queue,0.16245282022808502,0.16245282022808502
Warehouse1_Queue,0.11031701139795105,0.11031701139795105
Press1_Queue,0.10756371887736772,0.10756371887736772
Warehouse_2_Queue,0.09557155300527959,0.09557155300527959
Forklift_Assembly_Queue,0.04512861042541139,0.04512861042541139
Forklift_Press_Queue,0.04318574575677635,0.04318574575677635
Forklift_Blanking_Queue,-0.02554347712784514,0.02554347712784514
Cell1_Queue,,
Cell2_Queue,,
Cell3_Queue,,
Cell4_Queue,,
Paint1_Queue,,
Paint2_Queue,,
