Variable,Correlation_With_Production,Abs_Correlation
Quality_Util,0.9997502252629376,0.9997502252629376
Paint2_Util,0.9658892987006864,0.9658892987006864
Paint1_Util,0.9643209738462559,0.9643209738462559
Blanking_Util,0.9536922978324769,0.9536922978324769
Cell2_Util,0.7354427953470637,0.7354427953470637
Forklift_Util,0.5107538711141313,0.5107538711141313
Cell4_Util,0.4986973419134149,0.4986973419134149
Cell1_Util,0.4355775125814542,0.4355775125814542
Cell3_Util,0.2466617534406455,0.2466617534406455
Press4_Util,0.22577574962783412,0.22577574962783412
Press3_Util,0.19396743867799082,0.19396743867799082
Press2_Util,0.18315931373471173,0.18315931373471173
Press1_Util,0.09195580080663757,0.09195580080663757
